013	'nYl-dEr-tin
voornaam	'vor-nam
voorpagina	'vor-pa-Gi-na
voorproefje	'vor-pruf-j@
voorraad	'vo-rat
voorraadbriefjes	'vo-rat-brif-j@s
voorraaddingen	'vo-rat-dI-N@n
voorstellen	'vor-stE-l@
voorstelling	'vor-stE-lIN
voort	'vort
voortgezet	'vort-x@-zEt
vooruit	vor-'Y+t
vooruitgang	vor-'Y+t-xAN
voor-voor	'vor-vor
voorwaarde	'vor-war-d@
voorzitter	'vor-zI-t@r
voren	'vo-r@
vorig	'vo-r@x
vorig-	'vo-r@G
vorige	'vo-r@-G@
vorm	'vOrm
vormden	'vOrm-d@
vo-voor	vo-'vor
vo-vorige	vo-'vo-rI-g@
vr-	'vr
vraag	'vrax
vragen	'vra-G@
vreemd	'vremt
vrien-	'vrin
vriend	'vrint
vrienden	'vrin-d@
vriendengroep	'vrin-d@-Grup
vriendin	vrin-'dIn
vriendjespolitiek	'vrint-j@s-po-li-tik
vrij	'vrE+
vrijdag	'vrE+-dAx
vrijdagavond	'vrE+-dAG-a-vOnt
vrijdagochtend	'vrE+-dAx-Ox-t@nt
vrijeschool	vrE+-j@-'sxol
vrijmarkt	'vrE+-mArkt
vroeg	'vrux
vroeger	'vru-G@r
vrolijker	'vro-l@-k@r
vrouw	'vrA+w
vrouwen	'vrA+-w@
vrouwenemancipatie	'vrA+-w@-e-mAn-si-pa-tsi
vrouwtje	'vrA+w-tj@
vullen	'vY-l@
vuur	'vyr
v-vaag	v-'vag
v-vaak	v-'vak
v-vaarwater	v-'var-wa-t@r
v-van	v-vAn
v-vandaag	f-fAn-'daG
vvd	ve-ve-'de
v-vertrouwde	v-v@r-'trA+w-d@
v-vincentius	v-vIn-'cEn-ti-jus
v-vlam	v-'vlAm
v-volgende	v-'vOl-G@n-d@
v-voor	f-'for
v-vriendjes	v-'vrin-tj@s
v-v-verwisselen	v-v-vEr-'wI-s@-l@n
v-v-v-v-	'v-v-v-v-
w	'w
w-	'w
wa	'wa
wa-	'wa
waalstraat	'wal-strat
waalwijk	'wal-wE+k
waanzinnig	wan-'zI-n@x
waar	'war
waarbij	war-'bE+
waard	'wart
waarde	'war-d@
waardevol	'war-d@-vOl
waarin	war-'In
waarmee	war-'me
waarneemt	'war-nemt
waarnemen	'war-ne-m@
waarom	war-'Om
waarschijnlijk	war-'sxE+n-l@k
waarvan	war-'vAn
waarvoor	war-'vor
waarvoot	war-'vot
waas	'was
wa-as	'wa-as
wacht	'wAxt
wachten	'wAx-t@
wah	'wA
wahal	wA-'hal
wai	'wAj
wak	'wAk
wak-	'wAk
wakker	'wA-k@r
walking	'wa-kIN
walkman	'wO:k-mEn
wam	'wAm
wandelaar	'wAn-d@-lar
wandelaars	'wAn-d@-lars
wandelen	'wAn-d@-l@
wanden	'wAn-d@
wann-	'wAn
wanneer	wA-'ner
want	'wAnt
wan-want	wAn-'wAnt
war	'wAr
ware	'wa-r@
waren	'wa-r@
warm	'wArm
was	'wAs
wasmachine	'wAs-mA-Si-n@
wasmand	'wAs-mAnt
waspik	'wAs-pIk
wassen	'wA-s@
was-s-s	'wAs-s-s
wat	'wAt
water	'wa-t@r
watervast	'wa-t@r-vAst
watervaste	wa-t@r-'vAs-t@
wat-wat	'wAt-wAt
wauw	'wA+w
wa-waren	wa-'wa-r@n
wa-was	wA-'wAs
wc	we-'se
wc-mat	we-'se-mAt
wc's	we-'ses
we	'w@
we-	'w@
weds-	'wEds
wedstrijd	'wEt-strE+t
wedstrijden	'wEt-strE+-d@
wedstrijdje	'wEt-strE+t-j@
wedstrijdroeien	'wEt-strE+d-ru-j@
wedstrijdroeier	'wEd-strE+t-ru-j@r
wedstrijdroeiers	'wEt-strE+d-ru-j@rs
wee	'we
wee-	'we
weegde	'weG-d@
weegner	'wek-n@r
week	'wek
weekblad	'weg-blAt
weekend	'wi-kEnt
weekendje	'wi-kEnt-j@
weekje	'wek-j@
weer	'wer
weerskanten	'wers-kAn-t@
weerspiegelt	wer-'spi-G@lt
weertje	'wer-tj@
wees	'wes
weet	'wet
weg	'wEG
wegener	'we-Ge-n@r
weggaan	'wE-Gan
weggaat	'wE-Gat
weggekeken	'wE-G@-ke-k@
weggestopt	'wE-G@-stOpt
weggetikt	'wE-G@-tIkt
weggezet	'wE-G@-zEt
wegleggen	'wEG-lE-G@
wei	'wE+
wei-	'wE+
weigeren	'wE+-G@-r@
weinig	'wE+-n@x
weken	'we-k@
wekt	'wEkt
wel	'wEl
welk	'wElk
welk-	'wElk
welke	'wEl-k@
wel-wel	'wEl-wEl
wenen	'we-n@
wennen	'wE-n@
went	'wEnt
werd	'wErt
werden	'wEr-d@
wereld	'we-r@lt
wereldleiders	'we-r@lt-lE+-d@rs
wereldoorlog	'we-r@ld-or-lOx
werk	'wErk
werkcollege	'wEr-kO-le-Z@
werkcolleges	'wEr-kO-le-Z@s
werkelijk	'wEr-k@-l@k
werken	'wEr-k@
werkende	'wEr-k@n-d@
-werkende	'wEr-k@n-d@
werkgroep	'wErk-xrup
werkgroepen	'wErk-xru-p@
werkt	'wErkt
werkte	'wErk-t@
werkweek	'wErk-wek
werkwoorden	'wErk-wor-d@
westers	'wEs-t@rs
weten	'we-t@
wetenschap	'we-t@-sxAp
wetenschapfeest	'we-t@n-sxAp-fest
wetenschappen	'we-t@-sxA-p@
wetenschapsfraudeur	'we-t@n-sxAps-frA+-d2r
weu	'w2
we-we	'wE-wE
wezen	'we-z@
what	'whAt
what's	'wAts
whatsapp	wAt-'sAp
whisky-cola	wIs-ki-'ko-la
wi	'wi
wi-	'wi
wibra	'wi-bra
wie	'wi
wielrenfietsen	'wil-rEn-fIt-s@n
wielrennen	'wil-rE-n@
wiet	'wit
wie-wie	'wi-wi
wij	'wE+
wijn	'wE+n
wijze	'wE+-z@
wil	'wIl
wild	'wIlt
wilde	'wIl-d@
wilden	'wIl-d@
wilke	'wI-lk@
wille	'wI-l@
wille-	'wI-l@
willem	'wI-lEm
willemien	wI-l@-'mi
willempie	'wI-l@m-pi
willen	'wI-l@
wilt	'wIlt
wil-willen	Wil-'WI-l@n
win	'wIn
winkel	'wIN-k@l
winnaar	'wI-nar
winnen	'wI-n@
wint	'wInt
winter	'wIn-t@r
winterwachten	'wIn-t@r-wAx-t@n
wip	'wIp
wiskunde	'wIs-kYn-d@
wissel	'wI-s@l
wisselen	'wI-s@-l@
wist	'wIst
wit	'wIt
with	'wt
witte	'wI-t@
witteman	'wI-t@-mAn
woensdag	'wunz-dAx
woep	'wup
woh	'wO
wonder	'wOn-d@r
wonen	'wo-n@
woning	'wo-nIN
woningen	'wo-nI-N@
woods	'wots
woog	'wox
woon	'won
woonde	'won-d@
woont	'wont
woord	'wort
woorden	'wor-d@
woordspelletje	'word-spE-l@-tj@
word	'wOrt
worden	'wOr-d@
wordt	'wOrt
workaholics	wYrk-A-'hO-lIks
workshop	'wYrk-SOp
wou	'wA+w
wouden	'wA+-d@
wouter	'wA+-t@r
wow	'wA+
wrong	'wrON
wuh	'wY+
w-v-meer	w-v-'mer
ww	'wewe
w-w-	'w-w
w-waar	w-'war
w-waarom	w-wa-'rOm
w-wandelen	w-'wAn-d@-l@n
w-wanneer	w-wA-'ner
w-want	w-'wAnt
w-was	w-'wAs
w-wat	w-'wAt
w-wat-t	w-'wAt-t
w-weer	w-'wer
w-weet	w-'wet
w-wel	w-'wEl
w-weten	w-'we-t@n
w-wij	w-'wE+
wzz	'wzz
xenos	'Ie-nos
xenos-idee	'kse-nOs-i-de
xxl	Iks-Iks-'El
yeah	'jia
yes	'jEs
you	'E+A+
young	'E+A+N
z	'zEt
z-	'z
za-	'za
zaak	'zak
zaal	'zal
zaaltje	'zal-tj@
zaalvoetbal	'zal-vud-bAl
zaalvoetbalvereniging	'zal-fut-bAl-v@-re-n@-GIN
zag	'zAx
zagen	'za-G@
zak	'zAk
zakcentje	'zAk-sEn-tj@
zakje	'zAk-j@
zakjes	'zAk-j@s
zal	'zAl
zalen	'za-l@
zand	'zAnt
zanger	'zA-N@r
zangeres	zA-N@-'rEs
zat	'zAt
zaten	'za-t@
zaterdag	'za-t@r-dAx
zaterdagavond	za-t@r-dAG-'a-vOnt
zaterdagmiddag	'za-t@r-dAG-mI-dAx
zaterd-dag	'za-t@r-dAG
ze	'z@
ze-	'zE
zee	'ze
zeek	'zek
zeek-	'zek
zeer	'zer
zeg	'zEx
zeg-	'zEG
zeggen	'zE-G@
zegt	'zExt
zei	'zE+
zeiden	'zE+-d@
zeik	'zE+k
zeiken	'zE+-k@
zeikt	'zE+kt
zeikte	'zE+k-t@
zeker	'ze-k@r
zekers	'ze-k@rs
zel-	'zEl
zelf	'zElf
zelfde	'zElv-d@
zelfs	'zElfs
zelfstandig	zElf-'stAn-d@x
zelve	'zEl-v@
zen	'z@
zen-	'zEn
zenden	'zEn-d@
zender	'zEn-d@r
zes	'zEs
zesentwintig	'zEz-En-twIn-t@x
zesenvijftig	'zE-z@-vE+f-t@x
zestien	'zEs-tin
zestiende	'zEs-tin-d@
zestig	'zEs-t@x
zet	'zEt
zetten	'zE-t@
zeven	'ze-v@
zeventien	'ze-v@n-tin
zeventiende	'ze-v@n-tin-d@
zeventig	'ze-v@n-t@x
ze-ze	'zE-zE
zi-	'zi
zich	'zIx
zichzelf	zIx-'sElf
zie	'zi
ziekenhuis	'zi-k@-hY+s
zielig	'zi-l@x
zien	'zin
ziet	'zit
zigzagachtig	'zIG-zAG-Ax-t@x
zij	'zE+
zij-	'zE+
zijkant	'zE+-kAnt
zijn	'zE+n
zijn-zijn	'zE+n-zE+n
zij-zijn	zE+-'zE+n
zin	'zIn
zit	'zIt
zitten	'zI-t@
zittend	'zI-t@nt
zi-zit	zI-'zIt
z'n	'z@n
zündapp	'zYn-dAp
zo	'zo
zoë	'zu
zoals	zo-'wAls
zodat	zo-'dAt
zodra	zo-'dra
zoÃ«	zu
zoek	'zuk
zoeken	'zu-k@
-zoeksvraagstelling	'zuks-fraG-stE-lIN
zoekt	'zukt
zoiets	'zo-wits
zolang	zo-'lAN
zolder	'zOl-d@r
zolderkamer	'zOl-d@r-ka-m@r
zomaar	'zo-mar
zombie	'zOm-bi
zomer	'zo-m@r
zomerfeest	'zo-m@r-fest
zomerfeesten	'zo-m@r-fes-t@
zomervakantie	'zo-m@r-va-kAn-si
zon	'zOn
zo'n	'zon
zond	'zOnt
zondag	'zOn-dAx
zondagavond	'zOn-dAG-a-vOnt
zonde	'zOn-d@
zonder	'zOn-d@r
zong	'zON
zonnebril	'zO-n@-brIl
zonnebrillen	'zO-n@-brI-l@
zooi	'zoj
zook	'zok
zool	'zol
zoon	'zon
zorg	'zOrx
zorgen	'zOr-G@
zorgwekkend	zOrG-'wE-k@nt
zou	'zA+w
zouden	'zA+-d@
zoveel	zo-'vel
zoverre	zo-'vE-r@
zowat	zo-'wAt
zozeer	zo-'zer
zozo	'zo-zo
zo-zo	'zo-zo
zo-zoals	so-so-'Als
zu	'zy
zu-	'zy
zuidas	'zY+t-As
zuipen	'zY+-p@
zuipt	'zY+pt
zul	'zYl
zulk	'zYlk
zulke	'zYl-k@
zullen	'zY-l@
zult	'zYlt
zÃŒndapp	zYndAp
zus	'zYs
zussen	'zY-s@
zuur	'zyr
zuurdesembrood	'zyr-de-s@m-brot
zv	'zv
zw	zEt-'we
zw-	'zw
zwaar	'zwar
zware	'zwa-r@
zwart	'zwArt
zwarte	'zwAr-t@
zwartste	'zwArt-st@
zweet	'zwet
zwembad	'zwEm-bAt
zwemmen	'zwE-m@
zwolle	'zwO-l@
zz-	'z
z-ze	z-'zE
z-zeventien	z-'ze-v@n-tin
z-zitten	z-'zI-t@n
z-zo	z-'zo
z-zulke	z-'zYl-k@
